e1CPT_Code_Desc,e1Units,Billed,Avg Billed,CPT Payments,Avg CPT Pay per charge line,Avg Cpt Pay per Unit,Average of ReimbRate,,CPT Code,Value Care,Focal Point,Actual pay,Average of ReimbRate,Unit
J2356 - Tezspire 210mg,"14,669","658,561","4,390","267,634","1,784",9,41.5%,,J2356, $20.13 , $20.13 , $8.56 ,41.5%,"14,669"
52000 - Cystoscopy/urethroscopy,746,"443,870",590,"262,469",349,352,59.4%,,52000, $422.88 , $380.59 , $351.84 ,59.4%,746
"99215 - Office Visit, Est Pat, Level 5, high complexity","1,384","445,594",311,"260,993",182,189,59.1%,,99215, $209.96 , $188.96 , $188.58 ,59.1%,"1,384"
52356 - CYSTO/URETERO W/LITHOTRIPSY (Facility),391,"495,205","1,263","257,972",658,660,54.0%,,52356, $696.51 , $626.86 , $659.77 ,54.0%,391
64636 - DESTROY LS FACET JNT ADDL,637,"325,238",791,"246,385",599,375,75.5%,,64636, $428.67 , $385.80 , $375.26 ,75.5%,637
"99385 - Preventive Exam, New, 18-39","1,648","446,518",269,"240,967",145,146,54.2%,,99385, $152.41 , $137.17 , $146.22 ,54.2%,"1,648"
"99386 - Preventive Exam, New, 40-64","1,423","457,560",318,"239,650",167,168,52.3%,,99386, $176.22 , $158.60 , $167.79 ,52.3%,"1,423"
90651 - Gardasil 9 Val,738,"263,007",356,"237,760",322,322,91.3%,,90651, $332.08 , $332.08 , $322.17 ,91.3%,738
J7298 - MIRENA IUD,188,"249,560","1,327","221,822","1,180",1180,88.9%,,J7298," $1,238.93 "," $1,238.93 "," $1,179.90 ",88.9%,188
90750 - Shingrix Zoster Vaccine,957,"243,012",254,"205,303",215,215,85.2%,,90750, $232.75 , $232.75 , $214.53 ,85.2%,957
62321 - NJX INTERLAMINAR CRV/THRC,482,"321,976",668,"203,414",422,422,63.2%,,62321, $458.17 , $412.35 , $422.02 ,63.2%,482
55250 - VASECTOMY,347,"397,662","1,139","193,633",555,558,48.7%,,55250, $579.08 , $521.17 , $558.02 ,48.7%,347
"52310 - CYSTOURETHROSCOPY, WITH REMOVAL OF FOREIGN BODY, CALCULUS, OR URETERAL STENT FROM URETHRA OR BLADDER, (SEP PROC), SIMPLE",405,"318,330",786,"190,625",471,471,60.2%,,52310, $555.36 , $499.82 , $470.68 ,60.2%,405
80050 - GENERAL HEALTH PANEL,"3,907","480,561",123,"184,185",47,47,39.2%,,80050, $47.60 , $42.84 , $47.14 ,39.2%,"3,907"
27447 - TOTAL KNEE REPLACEMENT,152,"500,417","3,292","183,505","1,207",1207,31.2%,,27447," $2,197.14 "," $1,977.43 "," $1,207.27 ",31.2%,152
45380 - COLONOSCOPYBIOPSY,614,"790,832","1,288","172,844",282,282,22.2%,,45380, $769.41 , $692.47 , $281.50 ,22.2%,614
"45378 - COLONOSCOPY, DIAGNOSTIC",573,"553,518",964,"169,381",295,296,30.8%,,45378, $597.01 , $537.31 , $295.60 ,30.8%,573
91320 - Comirnaty (12+yr),"1,166","195,572",168,"167,698",144,144,85.8%,,91320, Not Found , Not Found , $143.82 ,85.8%,"1,166"
"99397 - Preventive Exam, Est, 65+","1,173","308,455",262,"166,785",142,142,54.3%,,99397, $157.57 , $141.81 , $142.19 ,54.3%,"1,173"
77063 - BREAST TOMOSYNTHESIS BI,"1,816","237,534",131,"166,621",92,92,70.4%,,77063, $96.88 , $87.19 , $91.75 ,70.4%,"1,816"
80061 - LIPID PROFILE,"12,524","450,864",36,"165,508",13,13,37.1%,,80061, $13.39 , $12.05 , $13.22 ,37.1%,"12,524"
45385 - COLONOSCOPY W POLYP REM SNARE,406,"590,324","1,454","165,245",407,407,28.2%,,45385, $800.07 , $720.06 , $407.01 ,28.2%,406
"90471 - Immun admin, 1 Vaccine, SNGL","6,590","289,960",44,"162,731",25,25,56.5%,,90471, $25.63 , $23.07 , $24.69 ,56.5%,"6,590"
47562 - LAP SURG CHOLE,153,"223,975","1,464","140,123",916,916,59.8%,,47562," $1,143.12 "," $1,028.81 ", $915.84 ,59.8%,153
62323 - NJX INTERLAMINAR LMBR/SAC,355,"211,935",597,"139,881",394,394,66.7%,,62323, $451.81 , $406.63 , $394.03 ,66.7%,355
"76830 - TRANSVAGINAL US, NON-OB (Global)",664,"234,392",353,"137,624",207,207,60.3%,,76830, $224.18 , $201.76 , $207.27 ,60.3%,664
G0481 - DR TST DEFIN DR ID M P D 8-14 DR CL,922,"319,587",333,"135,681",141,147,42.9%,,G0481, $156.59 , $140.93 , $147.16 ,42.9%,922
"99392 - Preventive Exam, Established, 1-4","1,153","225,922",196,"135,414",117,117,60.3%,,99392, $122.25 , $110.03 , $117.45 ,60.3%,"1,153"
"95117 - Allergen Immunotherapy, 2+ Injections","7,934","269,756",34,"134,597",17,17,50.1%,,95117, $17.78 , $16.00 , $16.96 ,50.1%,"7,934"
90460 - IMADM ANY ROUTE 1ST VAC/TOX,"5,136","261,936",127,"127,190",62,25,49.0%,,90460, $25.63 , $23.07 , $24.79 ,49.0%,"5,136"
20610 - Injection/Arthrocentesis Major Joint,"1,231","258,118",209,"126,629",102,103,51.1%,,20610, $111.07 , $99.96 , $102.79 ,51.1%,"1,231"
"76811 - OB US, DETAILED, SNGL FETUS",413,"175,806",425,"121,624",294,295,71.6%,,76811, $322.30 , $139.73 , $295.24 ,71.6%,413
"80053 - METABOLIC PANEL, COMPREHENS","11,397","421,689",37,"117,913",10,10,28.4%,,80053, $10.56 , $9.50 , $10.35 ,28.4%,"11,397"
"J7296 - Kyleena, 19.5 mg",99,"132,309","1,336","117,554","1,187",1187,88.8%,,J7296," $1,238.93 "," $1,238.93 "," $1,187.42 ",88.8%,99
G0439 - Subsequent Annual Wellness Visit,926,"212,054",228,"115,010",124,124,54.6%,,G0439, $153.20 , $137.88 , $124.20 ,54.6%,926
83036 - Hemoglobin A1c,"12,007","240,140",20,"113,294",9,9,48.1%,,83036, $9.71 , $8.74 , $9.44 ,48.1%,"12,007"
50590 - FRAGMENTING OF KIDNEY STONE (Facility),121,"173,737","1,436","111,620",922,922,64.3%,,50590," $1,272.12 "," $1,144.91 ", $922.48 ,64.3%,121
"99205 - Office Visit, New Pat, Level 5, high complexity",453,"208,824",427,"108,997",223,240,52.1%,,99205, $257.19 , $231.47 , $239.84 ,52.1%,453
"17110 - Destroy flat wart, up to 14",649,"142,802",219,"107,329",165,165,76.6%,,17110, $194.95 , $175.46 , $165.38 ,76.6%,649
J7307 - Nexplanon (Etonorgestrel Implant System),90,"137,700","1,530","105,875","1,176",1176,76.9%,,J7307," $1,238.93 "," $1,238.93 "," $1,176.39 ",76.9%,90
58571 - TLH WTO 250 G OR LESS,116,"161,250","1,390","105,748",912,912,65.9%,,58571," $1,561.37 "," $1,405.23 ", $911.62 ,65.9%,116
55866 - LAPARO RADICAL PROSTATECTOMY (Facility),52,"185,995","3,577","103,542","1,991",1991,53.5%,,55866," $2,432.01 "," $2,188.81 "," $1,991.20 ",53.5%,52
"99391 - Preventive Exam, Established, <12 mo",955,"166,170",174,"103,033",108,108,63.1%,,99391, $115.10 , $103.59 , $107.89 ,63.1%,955
"95811 - Polysomnography w/CPAP, (Global)",111,"218,892","1,972","101,952",918,918,46.6%,,95811, $792.34 , $713.11 , $918.49 ,46.6%,111
"99393 - Preventive Exam, Est, 5-11",859,"166,646",194,"100,702",117,117,60.6%,,99393, $121.85 , $109.67 , $117.23 ,60.6%,859
64633 - DESTROY CERVTHOR FACET JNT,143,"169,884","1,188","99,595",696,696,58.6%,,64633, $767.09 , $690.38 , $696.47 ,58.6%,143
"99212 - Office Visit, Est Pat, Level 2, low complexity","1,713","164,256",95,"99,458",57,58,61.4%,,99212, $65.89 , $59.30 , $58.06 ,61.4%,"1,713"
76816 - OB US LIMITED/RE-EVAL (Global),528,"141,087",267,"98,258",186,186,72.4%,,76816, $75.14 , $183.88 , $186.10 ,72.4%,528
"76872 - ECHO EXAM, TRANSRECTAL (Global)",293,"134,487",459,"95,450",326,326,71.2%,,76872, $379.43 , $53.10 , $325.77 ,71.2%,293
88305 - TISSUE EXAM BY PATHOLOGIST (Professional),"2,282","212,226","1,001","95,246",449,42,44.8%,,88305, $83.20 , $36.00 , $41.62 ,44.8%,"2,282"
"99394 - Preventive Exam, Est, 12-17",741,"158,538",214,"94,126",127,127,59.7%,,99394, $133.36 , $120.02 , $127.03 ,59.7%,741
90715 - Tdap,"1,806","148,092",82,"93,419",52,52,63.4%,,90715, $52.24 , $52.24 , $51.73 ,63.4%,"1,806"
44207 - L COLECTOMY/COLOPROCTOSTOMY,33,"169,444","5,135","93,389","2,830",2830,55.5%,,44207," $3,097.87 "," $2,788.08 "," $2,829.96 ",55.5%,33
"17311 - MOHS, 1 STAGE, HNHFG",118,"146,624","1,286","91,119",799,777,63.1%,,17311," $1,149.48 "," $1,034.53 ", $777.21 ,63.1%,118
"57425 - LAPAROSCOPY, SURG, COLPOPEXY (Facility)",78,"129,216","1,657","89,874","1,152",1152,62.0%,,57425," $1,673.02 "," $1,505.72 "," $1,152.23 ",62.0%,78
64493 - INJ PARAVERT F JNT LS 1 LEV,235,"217,560",922,"89,109",378,379,41.9%,,64493, $301.98 , $271.78 , $379.19 ,41.9%,235
"95115 - Allergen Immunotherapy, One Injection","6,623","192,009",29,"88,775",13,13,46.5%,,95115, $14.64 , $13.18 , $13.41 ,46.5%,"6,623"
64634 - DESTROY CTH FACET JNT ADDL,213,"115,266",835,"88,598",642,412,76.2%,,64634, $454.12 , $408.71 , $412.38 ,76.2%,213
70553 - MRI BRAIN W/O&W DYE (Technical),227,"348,445","1,535","85,954",379,379,25.1%,,70553, $421.66 , $179.96 , $378.65 ,25.1%,227
72148 - MRI LUMBAR SPINE W/O DYE (Technical),388,"368,600",936,"85,652",217,221,23.6%,,72148, $372.60 , $117.37 , $220.75 ,23.6%,388
49650 - LAP; REPR INITIAL INGUIN HERN (Facility),112,"170,111","1,519","84,737",757,757,51.8%,,49650, $749.16 , $674.24 , $756.58 ,51.8%,112
"95810 - Polysomnography 4+, (Global)",96,"171,552","1,787","83,501",870,870,48.7%,,95810, $757.83 , $845.85 , $869.80 ,48.7%,96
90734 - Meningococcal,486,"104,004",214,"83,296",171,171,80.2%,,90734, $179.95 , $179.95 , $171.39 ,80.2%,486
"76856 - US EXAM, PELVIC, COMPLETE (Global)",455,"127,400",280,"83,078",183,183,66.8%,,76856, $198.10 , $178.29 , $182.59 ,66.8%,455
90620 - Meningitis B (Bexsero) Vaccine,342,"96,438",280,"82,958",241,241,85.8%,,90620, $255.96 , $255.96 , $241.30 ,85.8%,342
77066 - DX MAMMO INCL CAD BI,292,"101,850",345,"80,659",273,276,79.6%,,77066, $87.56 , $265.48 , $276.23 ,79.6%,292
90461 - INADM ANY ROUTE ADDL VAC/TOX,"4,336","112,736",89,"80,626",63,19,72.3%,,90461, $19.35 , $17.42 , $18.61 ,72.3%,"4,336"
58571 - TLH WTO 250 G OR LESS (Facility),70,"113,776","1,602","79,459","1,119",1135,71.3%,,58571," $1,561.37 "," $1,405.23 "," $1,135.13 ",71.3%,70
58300 - IUD Insertion,433,"95,260",220,"78,890",182,182,82.8%,,58300, $193.80 , $174.42 , $182.19 ,82.8%,433
"36415 - DRAWING BLOOD, ROUTINE","24,391","243,910",10,"78,362",3,3,32.7%,,36415, $3.00 , $2.70 , $3.21 ,32.7%,"24,391"
20611 - DRAIN/INJ JOINT/BURSA W/US,499,"335,225",670,"77,916",156,156,24.2%,,20611, $170.66 , $153.59 , $156.14 ,24.2%,499
"74177 - CT, ABDOMEN & PELVIS, W DYE (Global)",145,"135,430",915,"75,620",511,522,58.2%,,74177, $438.43 , $143.64 , $521.52 ,58.2%,145
59410 - VAGINAL DELIVERY & POSTPART,44,"90,332","2,007","75,599","1,680",1718,83.7%,,59410," $1,815.33 "," $1,633.80 "," $1,718.15 ",83.7%,44
72197 - MRI PELVIS W/O & W/DYE (Technical),173,"269,188","1,556","75,356",436,436,28.0%,,72197, $471.34 , $424.21 , $435.59 ,28.0%,173
55700 - BIOPSY OF PROSTATE,198,"119,394",603,"75,154",380,380,62.9%,,55700, $417.68 , $375.91 , $379.57 ,62.9%,198
"76801 - OB US <14 WKS, SINGLE FETUS (Global)",376,"105,024",278,"75,008",198,200,74.4%,,76801, $218.59 , $196.73 , $200.05 ,74.4%,376
J7297 - LILETTA IUD,81,"84,015","1,025","74,306",906,917,88.4%,,J7297, $950.37 , $950.37 , $917.35 ,88.4%,81
57288 - REPAIR BLADDER DEFECT (Facility),94,"124,759","1,327","72,257",769,769,54.0%,,57288," $1,277.33 "," $1,149.60 ", $768.69 ,54.0%,94
"74178 - CT, ABDOMEN & PELVIS, W/O & W DYE (Global)",124,"118,792",958,"71,567",577,577,60.2%,,74178, $669.44 , $444.89 , $577.15 ,60.2%,124
92004 - Comprehensive,335,"82,410",245,"70,599",209,211,88.3%,,92004, $229.60 , $206.64 , $210.74 ,88.3%,335
"84443 - ASSAY, THYROID STIMULATING","4,345","204,215",47,"70,016",16,16,34.9%,,84443, $16.80 , $15.12 , $16.11 ,34.9%,"4,345"
90710 - PROQUAD,242,"76,792",317,"69,887",289,289,92.0%,,90710, $299.87 , $299.87 , $288.79 ,92.0%,242
"64484 - INJECT FORAMIN, LUMBSACRAL",391,"145,360",372,"69,011",176,176,47.8%,,64484, $194.95 , $175.46 , $176.50 ,47.8%,391
92014 - Comprehensive,371,"80,136",216,"68,064",183,183,86.1%,,92014, $194.03 , $174.63 , $183.46 ,86.1%,371
29827 - ROTATOR CUFF REP,65,"137,038","2,108","67,376","1,037",1037,43.4%,,29827," $1,834.42 "," $1,650.98 "," $1,036.56 ",43.4%,65
58301 - IUD Removal,380,"87,780",230,"66,933",175,176,77.1%,,58301, $192.06 , $172.85 , $176.14 ,77.1%,380
"85025 - BLD CNT, COMPL CBC WAUTO D","8,866","159,588",18,"66,428",7,7,42.6%,,85025, $7.77 , $6.99 , $7.49 ,42.6%,"8,866"
"59426 - ANTEPARTUM CARE ONLY, 7+ VI",40,"81,600","2,040","65,311","1,633",1633,82.1%,,59426," $1,756.33 "," $1,580.70 "," $1,632.78 ",82.1%,40
"90480 - Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, single dose","1,240","77,312",62,"65,104",52,53,87.5%,,90480, Not Found , Not Found , $52.50 ,87.5%,"1,240"
29888 - ACL REPAIR,63,"114,097","1,783","64,892","1,014",1030,48.8%,,29888," $1,677.07 "," $1,509.36 "," $1,030.04 ",48.8%,63
77062 - BREAST TOMOSYNTHESIS BI,231,"68,080",290,"63,440",270,275,94.2%,,77062, $207.41 , $78.80 , $274.63 ,94.2%,231
52601 - PROSTATECTOMY (TURP) (Facility),60,"120,468","2,008","63,164","1,053",1053,52.5%,,52601," $1,231.63 "," $1,108.47 "," $1,052.73 ",52.5%,60
"74176 - CT, ABDOMEN & PELVIS, W/O DYE (Global)",198,"97,218",489,"61,601",310,311,64.0%,,74176, $351.49 , $316.34 , $311.12 ,64.0%,198
"84153 - ASSAY, PSA, TOTAL","3,385","135,400",40,"60,065",18,18,45.1%,,84153, $18.39 , $16.55 , $17.74 ,45.1%,"3,385"
99459 - PELVIC EXAMINATION,"2,337","116,400",49,"59,949",25,26,52.0%,,99459, $26.99 , $24.29 , $25.63 ,52.0%,"2,337"
J7300 - Paragard,54,"61,892","1,146","58,972","1,092",1092,95.7%,,J7300," $1,161.78 "," $1,161.78 "," $1,092.08 ",95.7%,54
"84403 - ASSAY, BLOOD TESTOSTERONE","2,326","165,146",71,"58,909",25,25,36.4%,,84403, $25.81 , $23.23 , $25.33 ,36.4%,"2,326"
"94010 - Spirometry, with graphic recording (Global)","1,510","125,247",85,"58,060",39,39,47.8%,,94010, $41.32 , $37.19 , $39.38 ,47.8%,"1,510"
"27096 - INJECTION, SACROILIAC JOINT",174,"170,799",982,"57,603",331,331,36.0%,,27096, $280.57 , $252.51 , $331.05 ,36.0%,174
J2357 - OMALIZUMAB INJECTION PER 5MG,"3,557","79,682",297,"57,225",214,5,72.3%,,J2357, $44.62 , $44.62 , $5.17 ,72.3%,"3,557"
95886 - MUSC TEST DONE WN TEST COMP,400,"108,000",446,"56,756",235,142,53.0%,,95886, $69.56 , $140.27 , $141.96 ,53.0%,400
52352 - CYSTOURETERO WSTONE REMOVE (Facility),117,"122,677","1,040","56,347",478,482,51.5%,,52352, $592.96 , $533.66 , $481.60 ,51.5%,117
17000 - Actinic Keratosis destruct 1 lesion,696,"101,616",146,"55,290",79,79,54.6%,,17000, $115.12 , $103.61 , $79.44 ,54.6%,696
44204 - LAPARO PARTIAL COLECTOMY,21,"95,482","4,547","55,204","2,629",2629,57.9%,,44204," $2,635.07 "," $2,371.56 "," $2,628.76 ",57.9%,21
90723 - PEDIARIX,531,"88,146",167,"55,060",104,104,63.4%,,90723, $111.23 , $111.23 , $103.68 ,63.4%,531
"99202 - Office Visit, New Pat, Level 2, low-mod complexity",702,"113,747",160,"53,600",75,76,47.9%,,99202, $84.94 , $76.45 , $76.35 ,47.9%,702
27130 - TOTAL HIP REPLACEMENT & PRO,29,"120,210","4,145","51,910","1,790",1790,43.0%,,27130," $2,199.46 "," $1,979.51 "," $1,790.01 ",43.0%,29
99493 - SBSQ PSYC COLLAB CARE MGMT,326,"88,346",268,"51,394",156,158,60.0%,,99493, $170.67 , $153.60 , $157.65 ,60.0%,326
76642 - ULTRASOUND BREAST LIMITED (Global),334,"71,677",215,"51,128",153,153,74.0%,,76642, $59.62 , $141.96 , $153.08 ,74.0%,334
90739 - HEP B VACC ADULT 2 DOSE IM,322,"58,500",182,"50,905",158,158,88.2%,,90739, $168.21 , $168.21 , $158.09 ,88.2%,322
43239 - UPPER GI W BX,286,"273,390",956,"50,510",177,177,18.5%,,43239, $672.80 , $605.52 , $176.61 ,18.5%,286
"90680 - Rotavirus VAC, LIVE, ORAL",486,"71,928",148,"50,258",103,103,70.9%,,90680, $106.59 , $106.59 , $103.41 ,70.9%,486
52649 - PROSTATE LASER ENUCLEATION (Facility),39,"88,464","2,268","49,805","1,277",1277,56.3%,,52649," $1,397.08 "," $1,257.37 "," $1,277.04 ",56.3%,39
73721 - MRI JNT OF LWR EXTRE W/O DYE (Technical),202,"202,164","1,001","49,520",245,245,25.5%,,73721, $393.09 , $353.78 , $245.15 ,25.5%,202
11750 - Nail Removal with ablation,228,"98,268",433,"48,394",213,212,50.6%,,11750, $275.37 , $247.83 , $212.31 ,50.6%,228
64494 - INJ PARAVERT F JNT LS 2 LEV,227,"107,880",473,"45,449",199,200,42.7%,,64494, $156.20 , $140.58 , $200.22 ,42.7%,227
94762 - Overnight oximetry,"1,220","91,500",75,"45,062",37,37,49.9%,,94762, $40.79 , $36.71 , $36.94 ,49.9%,"1,220"
"99495 - TCM, Moderate complexity",206,"91,052",429,"44,888",212,218,50.0%,,99495, $239.73 , $215.76 , $217.90 ,50.0%,206
63650 - IMPLANT NEUROELECTRODES,22,"143,594","13,054","44,469","4,043",2021,31.0%,,63650," $4,094.62 "," $3,685.16 "," $2,021.31 ",31.0%,22
"95819 - EEG, Awake & Asleep",70,"66,570",951,"44,286",633,633,66.5%,,95819, $87.34 , $78.61 , $632.66 ,66.5%,70
"44626 - CLOSE ENTEROSTOMY, WRESEC",18,"65,156","3,620","44,224","2,457",2457,66.8%,,44626," $2,736.88 "," $2,463.19 "," $2,456.91 ",66.8%,18
29881 - P- MENISCECTOMY,63,"105,512","1,675","44,139",701,701,45.2%,,29881, $932.54 , $839.29 , $700.61 ,45.2%,63
"73564 - X-RAY EXAM OF KNEE, COMP, 4+V (Global)",504,"57,330",114,"43,615",86,87,76.7%,,73564, $19.87 , $77.13 , $86.54 ,76.7%,504
J3145 - INJ TESTOSTERONE UNDECANOATE 1 MG,"21,752","46,504","1,500","42,807","1,381",2,93.8%,,J3145, $2.19 , $2.19 , $1.97 ,93.8%,"21,752"
51798 - BLADDER SCAN,"2,761","146,227",53,"42,694",15,15,29.5%,,51798, $17.93 , $16.14 , $15.46 ,29.5%,"2,761"
52332 - CYSTOSCOPY AND TREATMENT (Facility),248,"117,744",473,"42,376",170,171,37.2%,,52332, $707.51 , $636.76 , $170.87 ,37.2%,248
"46280 - REMOVE ANAL FISTULA, COMPLE",55,"54,019",982,"41,943",763,763,77.6%,,46280, $830.15 , $747.14 , $762.60 ,77.6%,55
"90716 - VARICELLA VIRUS VAC, LIVE,",219,"46,426",212,"41,911",191,191,91.1%,,90716, $197.51 , $197.51 , $191.37 ,91.1%,219
72141 - MRI NECK SPINE W/O DYE (Technical),189,"174,447",913,"41,768",219,221,24.3%,,72141, $130.41 , $334.78 , $220.99 ,24.3%,189
77002 - FLUORO GUIDANCE FOR NEEDLE PLACEMENT (Global),219,"54,192",240,"41,541",184,190,77.6%,,77002, $216.73 , $44.71 , $189.69 ,77.6%,219
91120 - RECTAL SENSATION TEST,54,"64,800","1,200","41,381",766,766,63.9%,,91120, $830.52 , $747.47 , $766.31 ,63.9%,54
"73630 - X-RAY EXAM OF FOOT, COMP, MIN 3V (Global)",668,"61,143",91,"41,160",61,62,67.8%,,73630, $49.06 , $44.15 , $61.62 ,67.8%,668
64490 - INJ PARAVERT F JNT CT 1 LEV,101,"118,164","1,170","41,111",407,407,36.1%,,64490, $329.75 , $296.78 , $407.04 ,36.1%,101
99152 - MOD SED SAME PHYS/QHP 5/>YRS,563,"82,761",147,"40,985",73,73,49.8%,,99152, $78.97 , $71.07 , $72.80 ,49.8%,563
90656 - FLU VACCINE NO PRESERV 3 & >,"1,889","88,595",47,"40,270",21,21,45.6%,,90656, $21.17 , $21.17 , $21.32 ,45.6%,"1,889"
64615 - CHEMODENERV MUSC MIGRAINE,173,"65,048",376,"40,070",232,232,61.6%,,64615, $265.53 , $238.98 , $231.62 ,61.6%,173
"46260 - REMOVAL OF HEMORRHOIDS, COM",50,"53,250","1,065","39,665",793,793,74.5%,,46260, $835.35 , $751.82 , $793.30 ,74.5%,50
"95806 - SLEEP STUDY, UNATTENDED (Global)",294,"140,826",429,"39,468",120,134,28.2%,,95806, $141.21 , $127.09 , $134.24 ,28.2%,294
"59425 - ANTEPARTUM CARE ONLY, 4-6 V",44,"49,148","1,117","39,184",891,891,81.6%,,59425, $961.47 , $865.32 , $890.54 ,81.6%,44
50545 - LAPARO RADICAL NEPHRECTOMY (Facility),21,"64,784","3,085","38,855","1,850",1850,56.2%,,50545," $2,252.68 "," $2,027.41 "," $1,850.23 ",56.2%,21
"58661 - LAP, REM PT OOPHORSALP",36,"88,476","2,391","38,402","1,038",1067,45.0%,,58661," $1,121.13 "," $1,009.02 "," $1,066.72 ",45.0%,36
82306 - VITAMIN D 25 HYDROXY,"1,684","94,304",56,"37,976",23,23,50.1%,,82306, $29.60 , $26.64 , $22.55 ,50.1%,"1,684"
23472 - RECONSTRUCT SHOULDER JOINT,29,"81,205","2,800","37,775","1,303",1303,39.5%,,23472," $2,477.72 "," $2,229.95 "," $1,302.58 ",39.5%,29
99990 - MISSED APPOINTMENT FEE,"1,311","59,435",45,"36,684",28,28,96.6%,,99990, Not Found , Not Found , $27.98 ,96.6%,"1,311"
"95911 - Nerve conduction, 9-10 STUDIES",118,"58,410",495,"36,064",306,306,62.3%,,95911, $132.84 , $181.69 , $305.62 ,62.3%,118
J9217 - LUPRON 7.5 mg Leuprolide acetate,189,"89,775","1,472","35,865",588,190,39.9%,,J9217, $170.96 , $170.96 , $189.69 ,39.9%,189
"51700 - IRRIGATION OF BLADDER, SIMP",297,"65,712",219,"35,142",117,118,54.0%,,51700, $132.48 , $119.23 , $118.32 ,54.0%,297
58573 - TLH WTO UTERUS OVER 250 G,27,"53,125","1,968","34,932","1,294",1294,65.6%,,58573," $2,091.28 "," $1,882.15 "," $1,293.79 ",65.6%,27
90673 - FLU VACC RIV3 NO PRESERV - FLUBLOK,440,"69,960",159,"34,792",79,79,49.9%,,90673, $79.10 , $79.10 , $79.07 ,49.9%,440
76705 - US ABD LIMITED (Global),230,"72,135",314,"33,888",147,147,48.9%,,76705, $163.94 , $147.55 , $147.34 ,48.9%,230
0241U - Inf Dis Viral respiratory path 3 target,273,"77,805",285,"33,650",123,123,47.2%,,0241U, Not Found , Not Found , $123.26 ,47.2%,273
58662 - LAP EXC OF LESION,38,"53,687","1,413","33,621",885,885,64.7%,,58662," $1,223.53 "," $1,101.18 ", $884.76 ,64.7%,38
55867 - LAPS SURG PRST8ECT SMPL STOT,26,"74,120","2,851","33,619","1,293",1293,41.1%,,55867," $1,786.99 "," $1,608.29 "," $1,293.03 ",41.1%,26
